,Average Fitness,Median Fitness,Average Solution,Standard Deviation of Solution
function 1,0.066375732421875,0.066375732421875,"[-0.00076294  0.00137329  0.00015259  0.00259399  0.00167847 -0.00305176
  0.00198364  0.00030518 -0.00106812  0.00289917 -0.00030518 -0.00274658
  0.00167847  0.00213623 -0.00091553  0.00076294  0.00015259  0.00137329
  0.00488281  0.00167847  0.00274658  0.00259399 -0.00259399 -0.00030518
 -0.00015259 -0.00030518 -0.00183105  0.00305176  0.00030518 -0.00076294]","[0.00534058 0.00167847 0.00076294 0.00473022 0.00106812 0.00244141
 0.00045776 0.00061035 0.00015259 0.00015259 0.         0.00061035
 0.00350952 0.00366211 0.00061035 0.00045776 0.00045776 0.00442505
 0.00396729 0.00289917 0.00305176 0.00167847 0.00198364 0.
 0.00015259 0.00091553 0.00274658 0.00244141 0.00183105 0.00076294]"
function 2,15578.36536783725,15578.36536783725,"[-20.43457031  30.46569824 -15.65093994  -6.25        39.71099854
 -59.98382568  37.64190674  28.86199951 -43.699646    -6.26678467
  41.58477783 -40.71502686   3.76586914  18.74389648 -27.25219727
   6.23626709  25.25787354  -9.46044922 -12.51068115  31.87561035
 -50.06561279  24.98779297   6.39038086 -25.05645752  -0.99487305
  25.02288818 -50.02441406  25.3326416   -5.98907471   0.9475708 ]","[7.92541504e+00 2.64495850e+01 3.08074951e+00 1.87652588e+01
 3.53866577e+01 2.43942261e+01 3.75564575e+01 2.11410522e+01
 6.30340576e+00 1.87728882e+01 1.65817261e+01 1.55471802e+01
 3.96423340e+00 1.87744141e+01 2.19726562e+00 1.87911987e+01
 1.84631348e-01 4.07379150e+01 3.75564575e+01 8.94775391e+00
 3.50952148e-02 2.50183105e+01 6.17675781e+00 2.50625610e+01
 9.94873047e-01 2.49862671e+01 3.05175781e-03 3.23486328e-01
 6.52313232e+00 8.21426392e+01]"
function 3,0.1820532610930669,0.1820532610930669,"[ 2.05078125  0.00915527 -4.65087891 -0.00915527 -0.03662109 -0.09155273
  0.          0.2746582   0.09155273  0.06408691  0.09155273  0.25634766
 -0.11901855  0.10070801 -0.08239746 -0.02746582 -0.43029785  0.12817383
  0.21972656  0.10070801 -0.07324219  0.00915527 -0.36621094 -0.16479492
 -0.15563965  0.39367676 -0.23803711 -0.1373291  -1.10778809  0.34790039]","[4.39453125 0.06408691 4.70581055 0.00915527 0.01831055 0.12817383
 0.01831055 0.32958984 0.03662109 0.15563965 0.14648438 0.09155273
 0.1373291  0.26550293 0.66833496 0.06408691 0.06408691 0.49438477
 0.67749023 0.19226074 0.23803711 0.11901855 0.93383789 0.14648438
 0.06408691 0.10070801 0.2746582  0.06408691 0.06408691 0.20141602]"
function 4,5.096341268906414,5.096341268906414,"[ 2.91748047 -1.05438232 -4.90875244 -4.2388916  -3.05023193 -4.45480347
 -5.30014038 -2.40097046 -2.48336792 -2.76107788 -4.51202393 -1.99050903
 -2.52914429 -0.53482056 -3.10592651 -0.9475708  -0.79498291  1.57012939
 -2.89459229 -0.85678101  1.58309937  3.02963257 -2.85339355  1.36566162
  3.01055908 -3.12652588 -2.93045044  3.1288147   4.98123169  3.00521851]","[1.37329102e-02 4.02526855e+00 1.81579590e-01 1.58691406e-01
 4.42504883e-02 2.49481201e-01 9.63592529e-01 2.40554810e+00
 2.50320435e+00 1.76467896e+00 3.78417969e-01 1.99661255e+00
 1.43051147e+00 5.39398193e-01 1.92947388e+00 3.71856689e+00
 3.91998291e+00 1.55487061e+00 2.11334229e+00 3.58352661e+00
 1.54800415e+00 9.53674316e-02 1.83258057e+00 1.36260986e+00
 1.15966797e-01 6.25152588e+00 6.05697632e+00 2.28881836e-03
 2.05307007e+00 3.98178101e+00]"
function 5,1.8624997571080386,1.8624997571080386,"[ 1.17645264 -0.01373291  0.18157959  0.2166748  -0.00305176  0.65383911
  0.33187866  0.33035278 -0.16021729  1.16882324  0.48828125  0.71868896
 -0.00686646  0.3364563   0.82550049  0.3692627   0.33569336  0.49209595
  0.77362061  0.16708374  1.49612427 -0.00762939  0.18157959  0.83770752
  0.48446655  0.23422241  0.1625061   0.48522949  0.48904419  0.99105835]","[4.82177734e-01 1.06811523e-02 4.91333008e-01 5.05065918e-01
 1.52587891e-03 6.56890869e-01 3.41033936e-01 6.49261475e-01
 1.58691406e-01 1.72424316e-01 4.91333008e-01 3.20434570e-02
 7.62939453e-04 3.39508057e-01 1.44958496e-01 3.78417969e-01
 3.50952148e-01 5.01251221e-01 7.88879395e-01 1.83868408e-01
 1.74713135e-01 6.10351562e-03 4.94384766e-01 1.52587891e-01
 4.92095947e-01 5.43975830e-01 1.68609619e-01 4.86755371e-01
 4.96673584e-01 1.90734863e-02]"
function 6,0.9980038383154136,0.9980038383154136,[-31.99417114 -31.98623657],[0.         0.00793457]
function 7,0.03361458158576589,0.03361458158576589,[-7.62939453e-05 -7.80258179e-01  8.23364258e-01  1.56250000e-01],[0.07820129 4.21974182 0.5090332  0.15625   ]
