,Average Fitness,Median Fitness,Average Solution,Standard Deviation of Solution
function 1,0.01220703125,0.01220703125,"[ 0.          0.         -0.00015259  0.         -0.00015259  0.
 -0.00015259 -0.00061035  0.00015259 -0.00045776  0.00015259  0.
 -0.00015259 -0.00015259  0.00091553 -0.00045776  0.         -0.00045776
 -0.00061035 -0.00045776 -0.00045776  0.00030518 -0.00030518 -0.00045776
  0.00076294 -0.00076294 -0.00015259  0.00015259  0.         -0.00015259]","[0.         0.         0.00015259 0.00030518 0.00015259 0.0012207
 0.00015259 0.         0.00045776 0.00045776 0.00015259 0.
 0.00015259 0.00015259 0.         0.00015259 0.00030518 0.00015259
 0.00030518 0.00015259 0.00045776 0.00061035 0.00030518 0.00106812
 0.00015259 0.00076294 0.00045776 0.00015259 0.00030518 0.00015259]"
function 2,11667.06363670528,11667.06363670528,"[-1.24862671e+01  3.75000000e+01 -2.35382080e+01  3.22418213e+00
 -1.57455444e+01  3.43887329e+01 -3.77883911e+01  1.96853638e+01
 -6.25152588e+00 -1.52587891e-03 -6.24542236e+00  4.21844482e+01
 -5.00030518e+01 -5.81207275e+00  3.76892090e+01 -3.99291992e+01
  3.77120972e+01 -1.52587891e-03 -6.25457764e+00 -1.87545776e+01
  1.24984741e+01 -1.40762329e+01  1.73034668e+01 -2.19253540e+01
  2.62435913e+01 -4.15039062e-01 -1.23107910e+01 -3.11889648e+00
  1.23916626e+01  1.81976318e+01]","[1.24862671e+01 1.25000000e+01 1.66625977e+00 7.15179443e+00
 1.59011841e+01 2.81173706e+01 3.72146606e+01 9.44519043e-01
 6.24847412e+00 5.00015259e+01 6.24237061e+00 1.40747070e+01
 0.00000000e+00 1.91909790e+01 1.26739502e+01 8.66699219e+00
 1.22909546e+01 4.57763672e-03 6.24847412e+00 3.12484741e+01
 6.25045776e+01 3.59268188e+01 7.94677734e+00 3.07769775e+00
 2.37564087e+01 2.54272461e+01 1.26922607e+01 3.14331055e+00
 1.26235962e+01 2.90069580e+01]"
function 3,0.10723879739781789,0.10723879739781789,"[-6.28051758e+00 -3.16772461e+00  4.67834473e+00 -1.24603271e+01
  0.00000000e+00  0.00000000e+00 -3.66210938e-02 -8.23974609e-02
 -3.66210938e-02 -3.66210938e-02 -4.57763672e-02 -2.74658203e-02
 -1.83105469e-02 -2.74658203e-02 -5.49316406e-02 -8.23974609e-02
  5.49316406e-02 -5.49316406e-02 -2.74658203e-02  0.00000000e+00
 -5.49316406e-02 -9.15527344e-03  5.49316406e-02  4.57763672e-02
  1.19018555e-01  5.49316406e-02 -6.40869141e-02  5.49316406e-02
 -1.00708008e-01  3.66210938e-02]","[3.13110352e+00 3.14941406e+00 4.67834473e+00 1.24420166e+01
 3.66210938e-02 0.00000000e+00 1.83105469e-02 2.74658203e-02
 1.83105469e-02 3.66210938e-02 9.15527344e-03 6.40869141e-02
 1.83105469e-02 9.15527344e-03 1.83105469e-02 2.74658203e-02
 9.15527344e-02 5.49316406e-02 9.15527344e-03 1.83105469e-02
 1.83105469e-02 1.55639648e-01 7.32421875e-02 2.74658203e-02
 4.57763672e-02 5.49316406e-02 2.74658203e-02 1.28173828e-01
 2.10571289e-01 3.66210938e-02]"
function 4,3.9835718643283227,3.9835718643283227,"[ 3.03115845 -2.93731689 -4.05197144 -4.83398438 -2.41851807 -4.68978882
 -2.08435059 -5.61752319 -2.31933594  1.08032227 -2.64587402  1.56936646
 -0.88043213  3.51638794 -6.83517456  3.14941406 -0.99639893 -0.63247681
 -3.61480713 -4.92706299 -2.43988037 -0.78125    -2.54440308 -5.57327271
 -2.49099731 -0.87661743 -4.69589233 -3.12576294 22.17254639 -0.76370239]","[9.38415527e-02 2.05078125e+00 4.05197144e+00 1.46484375e-01
 2.41851807e+00 2.28881836e-03 2.08587646e+00 6.34002686e-01
 2.31933594e+00 5.78002930e+00 1.66625977e+00 1.55563354e+00
 4.00543213e+00 3.51638794e+00 2.14767456e+00 2.44140625e-02
 3.99017334e+00 3.75747681e+00 2.63977051e+00 1.52587891e-02
 2.45056152e+00 3.91082764e+00 1.76315308e+00 6.90460205e-01
 2.49099731e+00 3.81240845e+00 3.83758545e-01 3.12728882e+00
 2.70462036e+01 3.88870239e+00]"
function 5,1.8612629524627107,1.8612629524627107,"[-3.18145752e-01  1.49383545e+00  8.44573975e-01  4.95910645e-01
  1.01013184e+00  4.60815430e-01  4.76837158e-01  4.83703613e-01
 -1.52587891e-03 -1.52587891e-03  4.98199463e-01 -1.52587891e-03
  1.00250244e+00  3.40270996e-01  5.05828857e-01 -1.52587891e-03
 -1.52587891e-03  6.66809082e-01  8.28552246e-01  1.65786743e+00
 -1.52587891e-03  1.85394287e-01  3.35693359e-01 -2.28881836e-03
  8.28552246e-01  4.82177734e-01  1.16119385e+00  1.31988525e+00
  8.52203369e-01 -2.28881836e-03]","[7.62939453e-04 1.64794922e-01 1.57928467e-01 5.00488281e-01
 1.22070312e-02 4.63867188e-01 4.78363037e-01 4.86755371e-01
 0.00000000e+00 0.00000000e+00 5.01251221e-01 0.00000000e+00
 3.18908691e-01 3.41796875e-01 5.07354736e-01 0.00000000e+00
 0.00000000e+00 6.68334961e-01 8.30078125e-01 2.28881836e-03
 0.00000000e+00 4.98199463e-01 3.37219238e-01 7.62939453e-04
 8.30078125e-01 4.91333008e-01 1.58691406e-01 2.44140625e-01
 1.64031982e-01 7.62939453e-04]"
function 6,1.0059720031534547,1.0059720031534547,[-31.97036743 -32.24708557],[0.00793457 0.25489807]
function 7,0.037322552566738595,0.037322552566738595,[-4.67681885e-02 -5.00000000e+00  1.52587891e-04  2.34146118e-01],[0.00221252 0.         0.00015259 0.01976013]
