,Average Fitness,Median Fitness,Average Solution,Standard Deviation of Solution
function 1,25.901215222509734,25.901215222509734,"[-0.54951447 -0.11990407  0.31918043  1.20241564 -0.38915886 -0.50952906
 -0.17786025  0.31784003 -0.63379448  1.03125816 -1.5360136  -0.33061444
 -0.88435509 -0.15358364 -0.18170545 -0.4531926   0.49684779  1.5395236
 -0.23514276  1.15487019 -0.32335783 -1.57424814  0.98600156 -0.74537989
 -0.90387632 -0.59710391 -0.55240044 -0.68431075 -0.21734877 -0.93652817]","[0.7524352  0.61867332 0.75635673 1.12509815 0.79795551 1.04638982
 1.08290401 1.42017248 0.88820865 1.20935232 0.96830227 0.48345124
 0.88681198 0.87634604 0.66695314 1.27294709 1.36202368 0.61107066
 0.49613334 1.48263544 0.92687495 2.36037696 2.94645224 0.63755242
 0.42818819 0.78080016 1.15759142 0.83094111 0.77938308 0.96327435]"
function 2,27822.73724752548,27822.73724752548,"[ 37.87037838   6.85578978  -7.67443144  16.27464183  31.25743564
  -8.02795988   5.47146885   4.75108344 -12.62869203 -37.28788668
  24.72531733   8.27752333 -13.08267213  -6.21855803   4.80441747
   3.7740888    4.93352277 -28.41985544 -13.98418099  37.59116272
 -21.93760076 -23.2503629   -4.96946447   3.67208697 -37.6259675
  34.3495931  -21.73822461  35.69266336  -4.32669665  13.51340816]","[22.22331311 15.57648657  4.33896936 12.35929233 20.68571366 35.74672111
 17.17735247 15.62143613 39.8245136  28.3715186  19.92417435 28.89145166
 13.11130099  6.88298972 21.10374565  6.83227266 19.43001707 13.88001953
  9.62518521 30.58730974 15.30669911 33.64787909  8.38472647 11.20278329
 15.99228538 18.15109611 18.05613338 26.17480493 53.75351003 25.87220069]"
function 3,17.76975293627391,17.76975293627391,"[-24.54558421  36.50824999 -39.17571456  -3.28126106  38.15008503
  13.29536268   0.17049327   2.24133317 -39.7086785   30.16335211
  36.12369888 -48.86562703 -29.80854692 -17.95072807   6.90884666
  23.10950464 -13.40261628  20.09607581  30.88412051  49.04230778
 -34.99999746 -40.12977985  23.49352693  28.33522508  54.92793515
  -1.91922969  12.05054999  24.3129062   33.01015704 -12.96355476]","[49.95220405 44.05984655 45.75920887 55.12220312 41.87640534 32.96576653
 20.65201745 30.20621742 46.54652173 56.55210832 84.46211837 28.97018909
 48.43826124 39.29293275 52.59423147 28.29724695 22.07952083 41.22644229
 30.30132591 43.28621566 39.3508325  40.12068474 56.3355845  31.76528512
 65.67245545 34.87791493 38.98949966 43.12108288 34.99675665 18.60853145]"
function 4,21.140682278345835,21.140682278345835,"[-2.8703742  -2.97760785 -0.90762286 -4.71854743  2.02449464 -1.74060243
 -4.74053509 -0.73514571 -0.10201944  0.10094159  2.59043337 -6.69195126
  1.83881703 -0.40767177  0.10223246 -2.17641648  0.71493828 -0.26179282
  2.43039708 -6.32564399 -0.38966756  1.21481005  5.56185412  0.62868927
 -1.02432386  3.48683897 -1.06057221 -0.04960696  0.33767938  4.22959593]","[3.61093719 2.45923192 2.19021724 2.3408882  4.37270223 3.42239926
 3.21173859 6.90155508 5.76089879 4.17057256 1.71696728 2.692203
 3.20822306 5.09700045 5.3213864  2.44737131 2.38775175 3.51103552
 3.29474895 3.74262104 4.8846756  3.03685224 4.79301172 4.08953697
 3.66429549 2.50003393 3.16595065 5.075899   5.11266438 3.67449126]"
function 5,4538.554937765974,4538.554937765974,"[-0.85025373 -3.71517088  5.39530958 -0.47433447 -0.16116757  2.40157771
 -2.90130087  2.23480282 -1.3857979   2.9806635  -3.78777844 -3.82051726
 -5.46272974  0.79889159  3.90781585  0.99576756 -0.85503627 -1.28618243
  0.18512801  0.31848314 -3.66060717 -1.40225481  0.78210494 -3.42006071
  3.16870263 -0.86565755 -1.1446704   0.06503489  1.84491121 -1.17025131]","[2.51209771 2.84091755 3.2912457  5.73030037 3.48849714 5.08492072
 3.07917142 4.42688208 5.56831549 2.43675473 3.75214675 3.73973608
 3.28750358 4.09174772 3.48998851 2.55691477 3.69472425 3.90151652
 2.95018712 5.82907447 3.08411755 2.90737318 2.05901504 2.58192075
 3.28439233 2.59839879 3.39050404 3.66615932 3.76089109 4.45511596]"
function 6,1.0495288096934172,1.0495288096934172,[-9.35783476  1.91617039],[25.77840799 10.02303083]
function 7,0.041542853183060634,0.041542853183060634,[ 1.82812182 -0.84939605 -2.24704249 -1.62594617],[1.08641273 2.76660055 1.01760823 0.88263202]
